api,indicator,cn_name,param_format,param_note,return_cols,status,sample,note
THS_DR,p05309,港股基石投资者明细,ttype=1;sdate={start};edate={end};sfzx=1,ttype=1 港股IPO; sdate/edate=YYYYMMDD; sfzx=1 仅最新,f001-f019 共 18 字段 (公司/基石名/认购金额/锁定期等),✓,20220101-20260507 拉到 1613 条,"★关键字段: f003上市日 f004定价日 f005基石名称 f006基石背景(母公司) f008认购金额 f009认购股数 f010锁定期(月) f014基石占比% f015锁定期到期日(=上市日+锁定期,供解禁事件) f018/f019背景描述; 多行=每个基石一行; ⚠sfzx=1须配宽区间到今天"
THS_DR,p05310,港股首发信息一览,ttype=1;sdate={start};edate={end};sfzx=1[;IFindKey={codes}],"ttype=1 港股IPO; sdate/edate=YYYYMMDD; sfzx=1 仅最新; 可选 IFindKey=代码1,代码2,... (含 _1 副牌可拉到完整池, 脚本里走 hk_universe.txt)",f001-f054 共 54 字段 (代码/公司/招股价/募资/超购倍数等),✓,20220101-20260507 不带 IFindKey 397 条; 带 hk_universe.txt 可含副牌,★关键字段(对照 Book1.xlsx): f010发行价 f013/f014发行股数预计/实际 f021超额配售绿鞋 f023募资总额 f025募资净额 f024发行费用 f027公开认购倍数(超购) f050基石占融资比例% f052国际认购倍数 f044基石配售股数 f034上市日 f028招股章程公告日 f031定价日 f053上市板; ⚠sfzx=1须配宽区间到今天否则-208; IFindKey清单从客户端板块成分入口生成
THS_DataPool,block,板块成分股,{date};{block_id},date=YYYY-MM-DD; block_id 见 iFinD「板块成分入口」,"date,thscode,security_name",✓,18A (001005348) 拿到 3 只,"返回 OrderedDict, 用 result['errorcode'] 不是 .errorcode; 数据在 result['tables']"
THS_BD,total_oi,总营业收入,港股:{year}-12-31; 美股:104 或 {report_date},"港股历史期只传日期; 美股 104=最新一期, 也可传明确报告日; 返回发行人原币",total_oi (单位: 发行人原币),✓,1187.HK 2024→29.83亿; NVDA.O 最新一期→816.15亿美元 / 2025-12-31→1304.97亿美元,"2026-06-15 已用 NVDA.O/MSFT.O/TSM.N/VRT.N 验证美股非空; 美股财年截止日可能不是12-31, 正式使用应确认报告期"
THS_BD,gross_selling_rate,销售毛利率,"港股:{year}-12-31,104; 美股:104,100 或 {report_date},104","美股 104,100=最新一期; 明确报告日用 {date},104",gross_selling_rate (单位: %),✓,1187.HK 2024→50.58%; NVDA.O 最新一期→74.9335% / 2025-12-31→74.9887%,2026-06-15 已用 NVDA.O/MSFT.O/TSM.N/VRT.N 验证美股非空
THS_BD,net_profit_margin_on_sales,销售净利率,"港股:{year}-12-31,104; 美股:104,100 或 {report_date},104","美股 104,100=最新一期; 明确报告日用 {date},104",net_profit_margin_on_sales (单位: %),✓,1187.HK 2024→10.47%; NVDA.O 最新一期→71.4587% / 2025-12-31→55.848%,2026-06-15 已用 NVDA.O/MSFT.O/TSM.N/VRT.N 验证美股非空
THS_BD,ths_roe_hks,ROE (港股专用),"{year}-12-31,100",100=合并报表,ths_roe_hks (单位: %),✓,3690.HK 2024→22.06% / 2023→9.87%; 1187.HK 2025→7.69%,_hks 后缀是港股版; A股是 ths_roe_stock
THS_BD,ni_attr_to_cs,归属于母公司股东的净利润,"{report_date},100,OC 或 104,100,OC","报告期, 报表类型(100合并/101母公司/102合并调整/103母公司调整), 货币(OC原币/CNY/USD/HKD); 104=最新一期",ni_attr_to_cs (单位: 指定货币),✓,3690.HK 2024→358.07亿; NVDA.O 最新一期→583.21亿美元 / 2025-12-31→728.80亿美元,iFinD 客户端「财务报表(海外市场)」分类; 2026-06-15 已用 NVDA.O/MSFT.O/TSM.N/VRT.N 验证美股非空
THS_BD,ths_total_shares_after_ipo_ld_global,首发后总股本(上市日),(空),无参数; 同 currency_unit 串调用时第三参数填 ';',ths_total_shares_after_ipo_ld_global (单位: 股),✓,1187.HK 235.9M / 3690.HK 5.49B / 0700.HK 1.68B (IPO当时),"静态指标, 港股IPO上市日的总股本快照; 跟 currency_unit (=实际发行总股本) 配合可推上市前总股本"
THS_BD,currency_unit,实际发行总股本 (含超额配售),(空),"无参数; 同上, 第三参数填 ';'","currency_unit ⚠ 列名误导, 实际是股数 (单位: 股)",✓,"1187.HK 27M / 0068.HK 群核 184.7M (>f013 160.6M, 超配行使)","iFinDPy 列名是 currency_unit 但数据是「实际发行总股本」, 含超额配售; 跟 p05310 f013(原计划发行)对比可看绿鞋是否行权"
